
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.254.248.12:54344    216.58.212.130:80      ESTABLISHED
  TCP    10.254.248.12:54348    173.194.65.121:443     ESTABLISHED
  TCP    10.254.248.12:54349    68.232.35.127:443      ESTABLISHED
  TCP    10.254.248.12:54350    68.232.35.127:443      ESTABLISHED
  TCP    10.254.248.12:54351    52.72.167.198:80       ESTABLISHED
  TCP    10.254.248.12:54352    52.72.167.198:80       ESTABLISHED
  TCP    10.254.248.12:54353    52.72.167.198:80       ESTABLISHED
  TCP    10.254.248.12:54354    52.72.167.198:80       ESTABLISHED
  TCP    10.254.248.12:54359    31.13.71.7:443         ESTABLISHED
  TCP    10.254.248.12:54362    162.125.66.1:443       ESTABLISHED
  TCP    10.254.248.12:54369    173.194.65.189:443     ESTABLISHED
  TCP    10.254.248.12:54373    95.142.107.16:443      ESTABLISHED
  TCP    10.254.248.12:54374    95.142.107.24:443      ESTABLISHED
  TCP    127.0.0.1:843          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:895          127.0.0.1:54016        ESTABLISHED
  TCP    127.0.0.1:896          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         127.0.0.1:49156        ESTABLISHED
  TCP    127.0.0.1:5354         127.0.0.1:49157        ESTABLISHED
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:6942         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12025        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12110        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12119        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12143        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12465        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12563        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12993        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:12995        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:17600        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:20371        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:20371        127.0.0.1:49174        ESTABLISHED
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:27275        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49156        127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:49157        127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:49174        127.0.0.1:20371        ESTABLISHED
  TCP    127.0.0.1:49511        127.0.0.1:49512        ESTABLISHED
  TCP    127.0.0.1:49512        127.0.0.1:49511        ESTABLISHED
  TCP    127.0.0.1:49513        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49798        127.0.0.1:49799        ESTABLISHED
  TCP    127.0.0.1:49799        127.0.0.1:49798        ESTABLISHED
  TCP    127.0.0.1:50826        127.0.0.1:50827        ESTABLISHED
  TCP    127.0.0.1:50827        127.0.0.1:50826        ESTABLISHED
  TCP    127.0.0.1:52934        127.0.0.1:52935        ESTABLISHED
  TCP    127.0.0.1:52935        127.0.0.1:52934        ESTABLISHED
  TCP    127.0.0.1:52936        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:52937        127.0.0.1:52938        ESTABLISHED
  TCP    127.0.0.1:52938        127.0.0.1:52937        ESTABLISHED
  TCP    127.0.0.1:52939        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:52948        127.0.0.1:52949        ESTABLISHED
  TCP    127.0.0.1:52949        127.0.0.1:52948        ESTABLISHED
  TCP    127.0.0.1:52950        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53904        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53904        127.0.0.1:53916        ESTABLISHED
  TCP    127.0.0.1:53905        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53913        127.0.0.1:53914        ESTABLISHED
  TCP    127.0.0.1:53914        127.0.0.1:53913        ESTABLISHED
  TCP    127.0.0.1:53915        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:53916        127.0.0.1:53904        ESTABLISHED
  TCP    127.0.0.1:53917        127.0.0.1:53918        ESTABLISHED
  TCP    127.0.0.1:53918        127.0.0.1:53917        ESTABLISHED
  TCP    127.0.0.1:53919        127.0.0.1:53920        ESTABLISHED
  TCP    127.0.0.1:53920        127.0.0.1:53919        ESTABLISHED
  TCP    127.0.0.1:53921        127.0.0.1:53922        ESTABLISHED
  TCP    127.0.0.1:53922        127.0.0.1:53921        ESTABLISHED
  TCP    127.0.0.1:53923        127.0.0.1:53924        ESTABLISHED
  TCP    127.0.0.1:53924        127.0.0.1:53923        ESTABLISHED
  TCP    127.0.0.1:53925        127.0.0.1:53926        ESTABLISHED
  TCP    127.0.0.1:53926        127.0.0.1:53925        ESTABLISHED
  TCP    127.0.0.1:53927        127.0.0.1:53928        ESTABLISHED
  TCP    127.0.0.1:53928        127.0.0.1:53927        ESTABLISHED
  TCP    127.0.0.1:53929        127.0.0.1:53930        ESTABLISHED
  TCP    127.0.0.1:53930        127.0.0.1:53929        ESTABLISHED
  TCP    127.0.0.1:53931        127.0.0.1:53932        ESTABLISHED
  TCP    127.0.0.1:53932        127.0.0.1:53931        ESTABLISHED
  TCP    127.0.0.1:53933        127.0.0.1:53934        ESTABLISHED
  TCP    127.0.0.1:53934        127.0.0.1:53933        ESTABLISHED
  TCP    127.0.0.1:53935        127.0.0.1:53936        ESTABLISHED
  TCP    127.0.0.1:53936        127.0.0.1:53935        ESTABLISHED
  TCP    127.0.0.1:53937        127.0.0.1:53938        ESTABLISHED
  TCP    127.0.0.1:53938        127.0.0.1:53937        ESTABLISHED
  TCP    127.0.0.1:53939        127.0.0.1:53940        ESTABLISHED
  TCP    127.0.0.1:53940        127.0.0.1:53939        ESTABLISHED
  TCP    127.0.0.1:53941        127.0.0.1:53942        ESTABLISHED
  TCP    127.0.0.1:53942        127.0.0.1:53941        ESTABLISHED
  TCP    127.0.0.1:53953        127.0.0.1:53954        ESTABLISHED
  TCP    127.0.0.1:53954        127.0.0.1:53953        ESTABLISHED
  TCP    127.0.0.1:53955        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:54016        127.0.0.1:895          ESTABLISHED
  TCP    127.0.0.1:54262        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54263        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54264        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54265        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54266        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54267        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54268        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54270        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54273        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54274        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54276        127.0.0.1:895          TIME_WAIT
  TCP    127.0.0.1:54277        127.0.0.1:895          TIME_WAIT
